Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average SG Putts,SG:OTT,SG:APR,SG:ARG
60.0,75.19,291.5,73.51,29.93,60.67,-0.207,0.427,0.96,-0.027
109.0,73.58,283.5,68.22,29.31,60.13,-0.0579999999999999,-0.012,0.213,0.1939999999999999
93.0,72.24,286.5,68.67,29.12,62.27,0.192,0.183,0.437,-0.1369999999999999
78.0,71.94,289.2,68.8,29.17,64.16,-0.271,0.406,0.532,0.273
103.0,71.44,278.9,67.12,29.11,59.23,0.1639999999999999,-0.2269999999999999,0.099,0.026
103.0,71.37,282.9,64.52,28.25,63.26,0.442,-0.166,0.036,0.253
93.0,71.29,295.7,71.09,29.89,54.8,0.037,0.3779999999999999,0.298,-0.027
94.0,70.16,295.2,68.84,29.04,61.05,0.546,0.364,0.345,-0.122
77.0,70.03,293.0,68.77,29.8,54.33,0.1669999999999999,0.093,0.467,-0.186
50.0,69.91,280.5,63.19,28.73,62.58,0.389,-0.392,0.179,0.235
60.0,69.79,288.9,66.57,29.29,61.03,-0.128,0.1119999999999999,-0.065,-0.258
94.0,69.11,295.1,71.56,29.67,60.93,-0.25,0.439,0.415,0.0139999999999999
104.0,68.98,292.7,71.2,29.66,56.89,-0.067,0.215,0.267,0.063
82.0,68.93,285.4,63.03,28.5,58.57,0.2289999999999999,0.006,-0.16,-0.081
98.0,67.9,299.6,69.18,29.68,56.78,-0.358,0.237,0.888,0.026
75.0,67.85,295.1,70.16,29.47,57.98,0.273,0.256,0.487,0.096
86.0,67.8,295.4,71.75,29.46,58.03,0.392,0.5379999999999999,0.352,-0.1689999999999999
94.0,67.7,291.7,69.57,29.7,59.43,-0.088,0.059,0.263,0.149
65.0,67.52,281.1,64.88,28.69,63.0,0.332,-0.302,-0.038,0.184
83.0,67.51,286.1,67.02,29.15,59.91,-0.08,-0.005,0.305,-0.002
94.0,67.14,291.9,67.59,29.29,56.95,0.273,0.1369999999999999,-0.024,-0.096
82.0,66.91,297.3,72.08,29.88,56.47,-0.349,0.203,0.3989999999999999,-0.099
87.0,66.83,286.0,63.03,28.45,57.51,0.074,-0.074,-0.2,0.105
107.0,66.76,292.3,66.51,28.72,62.02,0.315,0.12,-0.045,0.179
97.0,66.74,294.4,69.65,30.19,52.76,-0.5660000000000001,0.273,0.476,-0.166
66.0,66.63,285.1,68.89,29.58,55.65,-0.127,-0.17,0.379,-0.113
77.0,66.49,286.7,63.77,28.52,64.0,0.009,-0.024,-0.1689999999999999,0.495
73.0,66.41,293.6,67.01,28.97,57.11,0.223,0.141,0.435,0.051
93.0,66.36,295.8,68.82,29.26,63.31,-0.2769999999999999,0.3,0.381,-0.004
89.0,66.33,290.8,65.38,28.91,60.29,0.513,-0.043,-0.316,-0.118
81.0,66.22,291.8,70.52,30.37,54.77,-0.569,0.174,0.34,-0.138
85.0,66.18,298.2,69.48,29.63,55.76,-0.149,0.286,0.41,-0.255
70.0,66.02,303.5,69.95,28.67,63.03,0.424,0.551,0.526,0.45
94.0,65.84,288.6,63.83,28.92,58.93,0.075,-0.286,0.017,-0.126
60.0,65.77,291.3,66.27,29.14,60.0,-0.166,0.114,-0.008,-0.252
84.0,65.68,296.6,69.72,29.86,55.96,-0.569,0.209,0.5529999999999999,0.0969999999999999
92.0,65.6,289.4,68.04,29.26,58.59,0.106,0.057,0.166,0.267
90.0,65.56,290.2,64.95,28.74,57.36,0.238,0.069,-0.385,-0.128
51.0,65.53,293.6,60.3,29.88,51.02,-0.645,0.027,-0.284,-0.93
74.0,65.33,299.8,69.52,28.99,63.05,0.296,0.244,0.494,0.242
81.0,65.33,298.7,67.04,29.67,58.2,-0.437,0.139,-0.254,-0.182
51.0,65.12,294.7,62.2,28.93,55.59,0.138,0.485,-0.247,0.135
82.0,65.09,290.9,67.78,29.29,55.63,0.115,-0.063,-0.138,0.037
