PLAYER,ROLEXRANK,SCORING AVERAGE,SG:TOTAL,BIRDIES OR BETTER,PAR 3’s,PAR 4’s,PAR 5’s,Rounds Played,SG:TEE TO GREEN,SG:OFF THE TEE,SG:APPROACH,SG:AROUND THE GREEN,SG:PUTTING,FAIRWAYS HIT,DRIVING DISTANCE,GIR,AVG PROXIMITY (>50 YARDS),GUR,SCRAMBLING,PUTTS PER GIR
Lydia Ko,1.0,69.0,2.57,4.57,2.88,3.95,4.59,85.0,1.08,-0.33,1.2,0.21,1.42,66.5,255.0,72.9,25.7,3.7,65.1,1.72
Hyo Joo Kim,9.0,69.4,2.01,4.05,2.9,3.96,4.61,62.0,1.42,-0.07,0.98,0.49,0.53,76.0,255.0,72.4,24.1,2.0,68.6,1.74
Atthaya Thitikul,3.0,69.5,1.99,4.33,2.98,3.94,4.63,99.0,1.2,0.65,0.6,-0.06,0.73,73.9,269.0,74.9,27.4,5.5,60.3,1.77
Linn Grant,26.0,69.5,2.08,5.09,3.2,3.95,4.36,22.0,1.14,0.63,0.44,0.07,0.88,59.7,267.0,72.5,27.2,15.6,54.1,1.71
Brooke M. Henderson,7.0,69.5,1.97,4.17,3.0,3.94,4.59,76.0,1.85,0.81,0.82,0.22,0.11,78.9,267.0,76.3,24.1,4.9,59.6,1.77
Xiyu Lin,15.0,69.5,1.82,4.31,2.98,3.98,4.56,92.0,1.43,0.45,0.86,0.12,0.33,77.6,262.0,75.9,25.3,3.5,60.1,1.76
Nelly Korda,2.0,69.7,1.98,4.32,3.02,3.97,4.56,54.0,1.37,0.93,0.22,0.22,0.55,75.0,272.0,75.4,29.7,7.5,49.8,1.77
Minjee Lee,4.0,69.7,1.69,4.33,2.95,3.97,4.62,75.0,2.75,0.46,2.02,0.27,-1.11,73.3,268.0,76.2,20.0,5.5,57.8,1.79
Lexi Thompson,6.0,69.7,1.85,3.78,3.03,3.94,4.63,62.0,1.05,0.61,0.6,-0.16,0.74,73.0,273.0,77.2,27.2,3.7,57.3,1.79
Danielle Kang,16.0,69.7,1.59,4.16,2.89,3.99,4.72,64.0,0.98,-0.12,1.01,0.09,0.59,77.1,251.0,71.9,25.8,1.8,59.9,1.74
Hye-Jin Choi,20.0,69.7,1.85,4.13,2.96,3.95,4.65,102.0,0.93,0.72,0.38,-0.17,0.84,80.1,264.0,76.5,25.1,4.4,57.9,1.78
Hannah Green,19.0,69.8,1.63,4.11,2.95,3.97,4.69,82.0,0.94,0.34,0.74,-0.14,0.61,75.5,264.0,74.3,24.3,4.1,56.4,1.77
