PLAYER,ROLEXRANK,SG:OFF THE TEE,FAIRWAYS HIT,DRIVING DISTANCE
Sarah-Eve RheaumeRounds played 2,-,2.16,-,-
Chloe WilliamsRounds played 6,-,1.61,-,-
Cara GainerRounds played 4,-,1.40,-,-
Auston KimRounds played 2,-,0.96,78.6%,277yds
Gabriella CowleyRounds played 4,-,0.96,-,-
Gabriela RuffelsRounds played 6,-,0.94,82.1%,247yds
Hyunjo YooRounds played 4,-,0.94,-,-
Nelly KordaRounds played 54,#2,0.93,75.0%,272yds
Carmen AlonsoRounds played 8,-,0.90,-,-
Catherine ParkRounds played 2,-,0.86,78.6%,269yds
A Lim KimRounds played 108,#47,0.84,69.0%,275yds
Aline KrauterRounds played 9,-,0.84,-,-
Yuka SasoRounds played 88,#32,0.82,67.8%,276yds
Brooke M. HendersonRounds played 76,#7,0.81,78.9%,267yds
Ami GianchandaniRounds played 2,-,0.80,82.1%,261yds
Bailey DavisRounds played 2,-,0.76,71.4%,279yds
Daniela DarqueaRounds played 36,#195,0.74,75.5%,263yds
Hye-Jin ChoiRounds played 102,#20,0.72,80.1%,264yds
Minsol KimRounds played 6,-,0.71,75.0%,254yds
Emily Kristine PedersenRounds played 73,#126,0.71,68.8%,275yds
Maria FassiRounds played 59,#104,0.69,67.0%,279yds
Ruixin LiuRounds played 64,#243,0.69,76.8%,263yds
Atthaya ThitikulRounds played 99,#3,0.65,73.9%,269yds
So Mi LeeRounds played 8,-,0.64,78.6%,266yds
Soo Bin JooRounds played 2,-,0.64,82.1%,256yds
Linn GrantRounds played 22,#26,0.63,59.7%,267yds
Ally EwingRounds played 70,#35,0.63,78.2%,265yds
Bianca PagdangananRounds played 50,#324,0.63,64.9%,277yds
Miyu YamashitaRounds played 8,-,0.63,-,-
Lauren HartlageRounds played 44,#624,0.62,73.9%,259yds
Lexi ThompsonRounds played 62,#6,0.61,73.0%,273yds
Noora KomulainenRounds played 4,-,0.61,-,-
Sofia GarciaRounds played 4,-,0.59,80.4%,255yds
Saki BabaRounds played 4,-,0.59,80.4%,255yds
Dani HolmqvistRounds played 7,#346,0.59,74.3%,267yds
Jennifer KupchoRounds played 93,#13,0.58,79.1%,266yds
Nanna Koerstz MadsenRounds played 68,#53,0.58,65.9%,272yds
Carlota CigandaRounds played 79,#52,0.55,69.4%,270yds
Brooke MatthewsRounds played 38,#832,0.55,63.1%,275yds
Albane ValenzuelaRounds played 81,#129,0.51,70.5%,265yds
Amanda DohertyRounds played 64,#213,0.49,72.6%,268yds
