PLAYER,ROLEXRANK,SCORING AVERAGE,SG:TOTAL,BIRDIES OR BETTER,PAR 3’s,PAR 4’s,PAR 5’s
Lydia KoRounds played 85,#1,69.0,2.57,4.57,2.88,3.95,4.59
Hyo Joo KimRounds played 62,#9,69.4,2.01,4.05,2.90,3.96,4.61
Atthaya ThitikulRounds played 99,#3,69.5,1.99,4.33,2.98,3.94,4.63
Linn GrantRounds played 22,#26,69.5,2.08,5.09,3.20,3.95,4.36
Brooke M. HendersonRounds played 76,#7,69.5,1.97,4.17,3.00,3.94,4.59
Xiyu LinRounds played 92,#15,69.5,1.82,4.31,2.98,3.98,4.56
Nelly KordaRounds played 54,#2,69.7,1.98,4.32,3.02,3.97,4.56
Minjee LeeRounds played 75,#4,69.7,1.69,4.33,2.95,3.97,4.62
Lexi ThompsonRounds played 62,#6,69.7,1.85,3.78,3.03,3.94,4.63
Danielle KangRounds played 64,#16,69.7,1.59,4.16,2.89,3.99,4.72
Hye-Jin ChoiRounds played 102,#20,69.7,1.85,4.13,2.96,3.95,4.65
Hannah GreenRounds played 82,#19,69.8,1.63,4.11,2.95,3.97,4.69
Azahara MunozRounds played 14,#282,69.9,0.50,3.50,2.85,4.00,4.83
Celine BoutierRounds played 86,#12,69.9,1.63,4.06,2.97,4.01,4.57
Andrea LeeRounds played 76,#31,69.9,1.50,3.85,2.90,3.99,4.70
Nasa HataokaRounds played 95,#10,69.9,1.48,4.26,2.90,3.99,4.69
Madelene SagstromRounds played 88,#27,70.1,1.24,4.21,2.94,4.01,4.64
Charley HullRounds played 58,#17,70.1,1.54,4.14,3.03,3.97,4.63
Megan KhangRounds played 84,#28,70.1,1.23,3.73,3.00,4.01,4.62
Sei Young KimRounds played 72,#21,70.2,1.31,4.08,2.95,4.03,4.61
In Gee ChunRounds played 71,#8,70.2,1.37,3.63,2.95,4.01,4.63
Lilia VuRounds played 91,#43,70.2,1.42,3.87,2.99,3.97,4.71
Maja StarkRounds played 18,#41,70.3,0.78,3.61,3.02,4.04,4.62
Ayaka FurueRounds played 101,#22,70.3,1.04,3.49,2.96,3.97,4.74
Georgia HallRounds played 73,#25,70.4,1.60,3.99,3.05,4.00,4.54
Jessica KordaRounds played 53,#18,70.4,1.46,3.82,3.05,4.02,4.68
Amy YangRounds played 65,#82,70.4,0.83,4.05,2.99,4.00,4.71
Leona MaguireRounds played 82,#11,70.5,1.20,3.83,3.02,3.99,4.67
Chella ChoiRounds played 87,#65,70.5,0.86,3.65,2.94,4.03,4.67
Jodi Ewart ShadoffRounds played 90,#60,70.5,0.92,3.59,3.02,4.00,4.73
A Lim KimRounds played 108,#47,70.5,0.93,3.85,3.02,4.02,4.62
Carlota CigandaRounds played 79,#52,70.6,0.70,4.04,3.01,4.04,4.62
Jennifer KupchoRounds played 93,#13,70.6,0.92,3.90,3.08,4.04,4.57
Alison LeeRounds played 89,#61,70.6,0.87,3.52,2.96,4.04,4.66
Klara Davidson SpilkovaRounds played 3,#159,70.7,0.23,4.00,3.25,3.97,4.67
Jin Young KoRounds played 55,#5,70.7,1.07,3.67,3.00,4.02,4.70
Cheyenne KnightRounds played 85,#75,70.7,0.94,3.40,3.02,3.98,4.75
Yuka SasoRounds played 88,#32,70.7,0.76,4.03,3.04,4.05,4.62
Jeongeun Lee6Rounds played 78,#38,70.7,0.54,3.89,2.96,4.01,4.80
Daniela DarqueaRounds played 36,#195,70.8,0.61,3.44,3.07,3.98,4.68
Lizette SalasRounds played 76,#50,70.8,0.57,3.27,2.94,4.05,4.76
Sarah SchmelzelRounds played 86,#83,70.8,0.51,3.48,2.99,4.02,4.74
Gaby LopezRounds played 81,#37,70.8,0.69,3.63,3.04,4.03,4.67
Marina AlexRounds played 83,#40,70.8,0.51,3.30,2.98,4.03,4.74
Allisen CorpuzRounds played 79,#48,70.9,0.80,3.49,3.10,4.00,4.69
Nanna Koerstz MadsenRounds played 68,#53,70.9,0.39,3.57,3.12,4.01,4.66
Ruoning YinRounds played 45,#151,70.9,0.49,3.67,3.03,4.00,4.79
Inbee ParkRounds played 48,#36,70.9,0.95,3.48,2.98,4.02,4.79
Narin AnRounds played 89,#62,71.0,0.73,3.44,3.04,4.03,4.68
Eun-Hee JiRounds played 73,#57,71.0,0.72,3.54,3.01,4.04,4.74
Anna NordqvistRounds played 78,#30,71.0,0.66,3.13,3.02,4.02,4.72
Ally EwingRounds played 70,#35,71.0,0.68,3.63,3.01,4.07,4.67
Frida KinhultRounds played 74,#177,71.0,0.49,3.57,3.09,4.06,4.63
Karis DavidsonRounds played 36,#292,71.1,0.22,3.63,3.22,4.04,4.52
Pajaree AnannarukarnRounds played 94,#87,71.1,0.45,3.48,3.02,4.04,4.73
Ryann O'TooleRounds played 83,#63,71.1,0.78,3.49,3.10,4.01,4.69
Albane ValenzuelaRounds played 81,#129,71.1,0.19,3.32,3.08,4.04,4.70
So Yeon RyuRounds played 69,#78,71.1,0.15,3.54,3.04,4.05,4.70
Moriya JutanugarnRounds played 94,#74,71.1,0.32,3.41,3.01,4.03,4.76
Paula RetoRounds played 90,#58,71.1,0.51,3.57,3.09,4.01,4.75
Brittany AltomareRounds played 87,#101,71.1,0.27,3.34,3.00,4.05,4.73
Ruixin LiuRounds played 64,#243,71.2,0.21,3.37,2.99,4.08,4.70
Jenny ShinRounds played 73,#98,71.2,0.38,3.53,3.01,4.03,4.77
Ashleigh BuhaiRounds played 76,#24,71.2,0.13,3.33,2.99,4.06,4.75
Caroline MassonRounds played 73,#80,71.2,0.01,2.96,2.95,4.09,4.75
Jasmine SuwannapuraRounds played 83,#164,71.2,0.10,3.31,3.00,4.05,4.73
Gemma DryburghRounds played 89,#72,71.2,0.34,3.33,3.03,4.04,4.73
Wei-Ling HsuRounds played 75,#111,71.2,0.01,3.15,2.98,4.06,4.76
Stephanie KyriacouRounds played 66,#97,71.2,0.31,3.79,3.06,4.04,4.73
Alena SharpRounds played 35,#328,71.3,-0.15,3.35,3.13,4.02,4.76
Emily Kristine PedersenRounds played 73,#126,71.3,0.14,3.49,3.07,4.05,4.68
Stacy LewisRounds played 80,#128,71.3,0.09,3.29,3.06,4.04,4.75
Ariya JutanugarnRounds played 90,#73,71.3,0.11,3.41,3.00,4.06,4.80
Lauren StephensonRounds played 74,#131,71.3,0.29,3.57,3.10,4.01,4.71
Mo MartinRounds played 30,#369,71.3,0.11,2.81,2.99,4.07,4.75
Mina HarigaeRounds played 74,#51,71.4,0.03,3.13,2.98,4.03,4.84
Hinako ShibunoRounds played 71,#42,71.4,0.12,3.44,3.04,4.06,4.76
Lindy DuncanRounds played 28,#272,71.4,-0.27,3.12,3.10,4.07,4.71
Jennifer ChangRounds played 64,#176,71.4,0.19,3.37,3.06,4.05,4.74
Perrine DelacourRounds played 57,#178,71.4,0.08,3.56,3.04,4.06,4.68
Pornanong PhatlumRounds played 92,#120,71.5,0.05,3.09,3.04,4.03,4.79
Amanda DohertyRounds played 64,#213,71.5,0.16,3.78,3.16,4.08,4.59
Matilda CastrenRounds played 83,#92,71.5,0.09,3.43,3.06,4.05,4.78
Emma TalleyRounds played 86,#170,71.5,-0.12,3.32,3.01,4.07,4.80
Pauline RoussinRounds played 78,#88,71.5,0.08,3.56,3.05,4.08,4.75
Haru NomuraRounds played 22,#584,71.5,-0.29,3.55,3.01,4.09,4.76
