PLAYER,ROLEXRANK,SG:AROUND THE GREEN,SCRAMBLING,SG:PUTTING,PUTTS PER GIR
Rosie DaviesRounds played 3,-,1.82,-,0.66,-
Jung Min HongRounds played 2,-,1.47,-,0.19,-
Yaeeun HongRounds played 58,#310,1.10,60.3%,-0.54,1.79
Michelle LiuRounds played 2,-,1.08,-,-2.62,-
Sarah SchoberRounds played 4,-,1.04,-,-0.71,-
Christine WolfRounds played 4,-,1.01,-,-1.50,-
Auston KimRounds played 2,-,0.93,-,-0.18,-
Pannarat ThanapolboonyarasRounds played 12,#540,0.90,60.6%,-2.34,1.91
Karrie WebbRounds played 10,#790,0.73,57.9%,-0.08,1.89
Haru NomuraRounds played 22,#584,0.71,54.8%,-1.61,1.77
Laura SlumanRounds played 4,-,0.69,-,0.09,-
Haley MooreRounds played 6,#893,0.65,54.3%,-0.02,1.89
Dani HolmqvistRounds played 7,#346,0.65,60.0%,-1.43,1.85
Catriona MatthewRounds played 2,#634,0.65,30.8%,0.28,1.79
Jessica PengRounds played 11,#566,0.63,60.6%,-1.31,1.92
Pavarisa YoktuanRounds played 8,#413,0.58,44.0%,-1.70,1.89
Ayako UeharaRounds played 20,#449,0.52,64.6%,0.03,1.84
Austin ErnstRounds played 18,#153,0.49,56.4%,-1.93,1.87
Hyo Joo KimRounds played 62,#9,0.49,68.6%,0.53,1.74
Michelle Wie WestRounds played 6,#740,0.47,34.7%,-1.40,1.92
Sei Young KimRounds played 72,#21,0.45,56.7%,0.38,1.79
Megan KhangRounds played 84,#28,0.45,55.6%,-0.20,1.79
Tiia KoivistoRounds played 10,-,0.45,-,-1.01,-
Lucy LiRounds played 26,-,0.44,-,-0.16,-
Stephanie Connelly EiswerthRounds played 2,-,0.42,-,-0.26,-
Lee-Anne PaceRounds played 18,#168,0.40,46.9%,-1.80,1.85
Christina KimRounds played 47,#402,0.39,52.2%,-0.78,1.84
Annabel DimmockRounds played 4,-,0.36,-,-1.76,-
Mina HarigaeRounds played 74,#51,0.36,57.2%,-0.10,1.80
Ssu-Chia ChengRounds played 7,#432,0.36,63.0%,-0.23,1.85
Kristen GillmanRounds played 20,#522,0.36,61.2%,0.35,1.80
Aditi AshokRounds played 79,#193,0.36,62.7%,0.77,1.81
Arpichaya YubolRounds played 4,-,0.34,-,-1.26,-
Prima ThammaraksRounds played 4,-,0.32,-,-2.50,-
Tvesa MalikRounds played 4,-,0.32,-,-2.13,-
Ana Pelaez TrivinoRounds played 8,-,0.31,-,-0.62,-
Na Yeon ChoiRounds played 44,#388,0.31,46.9%,-1.49,1.85
Celine HerbinRounds played 33,#398,0.30,53.3%,-1.12,1.84
Hayley DavisRounds played 5,-,0.30,-,-1.32,-
Leona MaguireRounds played 82,#11,0.29,61.0%,0.57,1.76
Haeji KangRounds played 69,#185,0.29,60.8%,0.03,1.81
Charley HullRounds played 58,#17,0.29,54.3%,0.59,1.78
Alison LeeRounds played 89,#61,0.29,62.4%,0.04,1.80
Rose ZhangRounds played 12,-,0.29,-,-0.18,-
Melanie GreenRounds played 2,-,0.28,-,-4.14,-
Wei-Ling HsuRounds played 75,#111,0.28,60.2%,-0.95,1.84
Charlotte ThomasRounds played 61,#253,0.27,62.3%,-0.18,1.84
In Gee ChunRounds played 71,#8,0.27,61.7%,-0.54,1.80
Minjee LeeRounds played 75,#4,0.27,57.8%,-1.11,1.79
Bohyun ParkRounds played 4,-,0.27,-,-0.24,-
Gemma DryburghRounds played 89,#72,0.27,59.1%,-0.15,1.80
Minsol KimRounds played 6,-,0.26,-,-4.10,-
Pia BabnikRounds played 23,-,0.26,-,-0.38,-
Beth WuRounds played 2,-,0.26,-,0.07,-
Brittany AltomareRounds played 87,#101,0.25,60.5%,0.45,1.80
Jenny ShinRounds played 73,#98,0.24,59.6%,0.00,1.81
Katherine KirkRounds played 28,#404,0.23,54.6%,-0.02,1.82
Nelly KordaRounds played 54,#2,0.22,49.8%,0.55,1.77
Brooke M. HendersonRounds played 76,#7,0.22,59.6%,0.11,1.77
Michele ThomsonRounds played 6,-,0.21,-,-1.75,-
Yuka SasoRounds played 88,#32,0.21,54.5%,-0.15,1.76
Lydia KoRounds played 85,#1,0.21,65.1%,1.42,1.72
Brittany LincicomeRounds played 32,#192,0.20,62.0%,-0.25,1.85
Eun-Hee JiRounds played 73,#57,0.20,57.4%,0.22,1.79
Laney FryeRounds played 4,-,0.20,-,-3.64,-
Cheyenne KnightRounds played 85,#75,0.19,58.4%,0.28,1.78
Momoko UedaRounds played 10,-,0.19,-,0.73,-
Chella ChoiRounds played 87,#65,0.19,63.7%,0.87,1.79
Mo MartinRounds played 30,#369,0.19,59.7%,0.15,1.83
Caroline MassonRounds played 73,#80,0.18,56.3%,-0.19,1.83
Dottie ArdinaRounds played 23,#342,0.18,54.2%,0.62,1.84
