PLAYER,ROLEXRANK,SG:TOTAL,SG:TEE TO GREEN,SG:OFF THE TEE,SG:APPROACH,SG:AROUND THE GREEN,SG:PUTTING
Lydia KoRounds played 85,#1,2.57,1.08,-0.33,1.20,0.21,1.42
Nelly KordaRounds played 54,#2,1.98,1.37,0.93,0.22,0.22,0.55
Atthaya ThitikulRounds played 99,#3,1.99,1.20,0.65,0.60,-0.06,0.73
Minjee LeeRounds played 75,#4,1.69,2.75,0.46,2.02,0.27,-1.11
Jin Young KoRounds played 55,#5,1.07,0.56,-0.08,0.50,0.13,0.44
Lexi ThompsonRounds played 62,#6,1.85,1.05,0.61,0.60,-0.16,0.74
Brooke M. HendersonRounds played 76,#7,1.97,1.85,0.81,0.82,0.22,0.11
In Gee ChunRounds played 71,#8,1.37,1.82,-0.13,1.68,0.27,-0.54
Hyo Joo KimRounds played 62,#9,2.01,1.42,-0.07,0.98,0.49,0.53
Nasa HataokaRounds played 95,#10,1.48,0.90,0.32,0.57,0.04,0.48
Leona MaguireRounds played 82,#11,1.20,0.56,-0.17,0.43,0.29,0.57
Celine BoutierRounds played 86,#12,1.63,0.88,-0.17,1.11,-0.05,0.70
Jennifer KupchoRounds played 93,#13,0.92,0.51,0.58,0.11,-0.18,0.35
Xiyu LinRounds played 92,#15,1.82,1.43,0.45,0.86,0.12,0.33
Danielle KangRounds played 64,#16,1.59,0.98,-0.12,1.01,0.09,0.59
Charley HullRounds played 58,#17,1.54,0.85,0.39,0.17,0.29,0.59
Jessica KordaRounds played 53,#18,1.46,0.81,0.46,0.51,-0.15,0.57
Hannah GreenRounds played 82,#19,1.63,0.94,0.34,0.74,-0.14,0.61
Hye-Jin ChoiRounds played 102,#20,1.85,0.93,0.72,0.38,-0.17,0.84
Sei Young KimRounds played 72,#21,1.31,0.88,0.16,0.26,0.45,0.38
Ayaka FurueRounds played 101,#22,1.04,-0.24,-0.09,0.20,-0.34,1.23
Ashleigh BuhaiRounds played 76,#24,0.13,0.37,-0.21,0.49,0.09,-0.32
Georgia HallRounds played 73,#25,1.60,0.81,0.04,0.66,0.11,0.72
Linn GrantRounds played 22,#26,2.08,1.14,0.63,0.44,0.07,0.88
Madelene SagstromRounds played 88,#27,1.24,-0.10,0.38,-0.30,-0.18,1.27
Megan KhangRounds played 84,#28,1.23,1.36,0.39,0.52,0.45,-0.20
Anna NordqvistRounds played 78,#30,0.66,0.02,-0.13,0.42,-0.21,0.55
Andrea LeeRounds played 76,#31,1.50,1.03,-0.18,1.23,-0.01,0.39
Yuka SasoRounds played 88,#32,0.76,0.86,0.82,-0.17,0.21,-0.15
Ally EwingRounds played 70,#35,0.68,1.35,0.63,0.93,-0.22,-0.75
Inbee ParkRounds played 48,#36,0.95,0.71,-0.26,0.86,0.11,0.17
Gaby LopezRounds played 81,#37,0.69,0.04,0.22,-0.13,-0.05,0.58
Jeongeun Lee6Rounds played 78,#38,0.54,-0.14,-0.08,-0.13,0.07,0.64
Marina AlexRounds played 83,#40,0.51,0.16,-0.08,0.31,-0.07,0.30
Maja StarkRounds played 18,#41,0.78,1.52,0.33,1.16,0.02,-0.63
Hinako ShibunoRounds played 71,#42,0.12,0.45,0.21,0.44,-0.18,-0.10
Lilia VuRounds played 91,#43,1.42,0.82,0.29,0.62,-0.09,0.59
A Lim KimRounds played 108,#47,0.93,0.90,0.84,0.41,-0.36,-0.01
Allisen CorpuzRounds played 79,#48,0.80,0.84,0.07,0.68,0.09,-0.16
Lizette SalasRounds played 76,#50,0.57,0.08,-0.53,0.58,0.04,0.40
Mina HarigaeRounds played 74,#51,0.03,0.09,-0.35,0.08,0.36,-0.10
Carlota CigandaRounds played 79,#52,0.70,-0.13,0.55,-0.62,-0.06,0.77
Nanna Koerstz MadsenRounds played 68,#53,0.39,-0.29,0.58,-0.62,-0.25,0.67
Patty TavatanakitRounds played 64,#54,-0.26,-0.80,-0.07,-0.60,-0.13,0.47
Eun-Hee JiRounds played 73,#57,0.72,0.41,0.04,0.17,0.20,0.22
Paula RetoRounds played 90,#58,0.51,-0.20,-0.10,-0.24,0.14,0.71
Jodi Ewart ShadoffRounds played 90,#60,0.92,0.76,0.24,0.59,-0.06,-0.01
Alison LeeRounds played 89,#61,0.87,0.73,-0.10,0.54,0.29,0.04
Narin AnRounds played 89,#62,0.73,-0.19,0.19,-0.37,-0.00,0.86
Ryann O'TooleRounds played 83,#63,0.78,0.36,0.19,0.26,-0.05,0.31
Chella ChoiRounds played 87,#65,0.86,-0.06,0.05,-0.30,0.19,0.87
Gemma DryburghRounds played 89,#72,0.34,0.43,-0.11,0.28,0.27,-0.15
Ariya JutanugarnRounds played 90,#73,0.11,-0.28,-0.33,0.22,-0.17,0.34
Moriya JutanugarnRounds played 94,#74,0.32,0.03,-0.25,0.32,-0.05,0.26
Cheyenne KnightRounds played 85,#75,0.94,0.54,-0.22,0.61,0.19,0.28
Sophia SchubertRounds played 76,#76,-0.46,-0.89,0.17,-0.72,-0.34,0.39
So Yeon RyuRounds played 69,#78,0.15,0.10,-0.67,0.59,0.18,0.04
Caroline MassonRounds played 73,#80,0.01,0.14,-0.29,0.25,0.18,-0.19
Amy YangRounds played 65,#82,0.83,0.39,0.13,0.20,0.06,0.46
Sarah SchmelzelRounds played 86,#83,0.51,0.02,0.20,-0.08,-0.09,0.46
Pajaree AnannarukarnRounds played 94,#87,0.45,0.28,0.15,0.15,-0.01,0.12
Pauline RoussinRounds played 78,#88,0.08,-0.62,0.32,-0.45,-0.48,0.61
Matilda CastrenRounds played 83,#92,0.09,0.61,0.25,0.19,0.17,-0.54
Bronte LawRounds played 57,#95,-0.37,0.02,-0.27,0.11,0.17,-0.47
Stephanie KyriacouRounds played 66,#97,0.31,-0.30,0.35,-0.53,-0.13,0.52
Jenny ShinRounds played 73,#98,0.38,0.31,-0.24,0.32,0.24,0.00
Brittany AltomareRounds played 87,#101,0.27,-0.23,-0.49,0.01,0.25,0.45
Maria FassiRounds played 59,#104,-0.37,-0.04,0.69,-0.05,-0.68,-0.39
Yealimi NohRounds played 86,#108,-0.21,0.11,0.16,-0.11,0.07,-0.36
Wei-Ling HsuRounds played 75,#111,0.01,1.02,0.45,0.41,0.28,-0.95
Wichanee MeechaiRounds played 92,#119,-0.29,-0.45,-0.43,0.32,-0.34,0.09
